"id","name","parent_id","parent_name","gparent_id"
22,"Interest Rates",32991,"Money, Banking, & Finance",0
15,"Exchange Rates",32991,"Money, Banking, & Finance",0
24,"Monetary Data",32991,"Money, Banking, & Finance",0
46,"Financial Indicators",32991,"Money, Banking, & Finance",0
23,"Banking",32991,"Money, Banking, & Finance",0
32360,"Business Lending",32991,"Money, Banking, & Finance",0
32145,"Foreign Exchange Intervention",32991,"Money, Banking, & Finance",0
12,"Current Population Survey (Household Survey)",10,"Population, Employment, & Labor Markets",0
11,"Current Employment Statistics (Establishment Survey)",10,"Population, Employment, & Labor Markets",0
32250,"ADP Employment",10,"Population, Employment, & Labor Markets",0
33500,"Education",10,"Population, Employment, & Labor Markets",0
33001,"Income Distribution",10,"Population, Employment, & Labor Markets",0
32241,"Job Openings and Labor Turnover (JOLTS)",10,"Population, Employment, & Labor Markets",0
33509,"Labor Market Conditions",10,"Population, Employment, & Labor Markets",0
104,"Population",10,"Population, Employment, & Labor Markets",0
2,"Productivity & Costs",10,"Population, Employment, & Labor Markets",0
33831,"Minimum Wage",10,"Population, Employment, & Labor Markets",0
32240,"Weekly Initial Claims",10,"Population, Employment, & Labor Markets",0
33731,"Tax Data",10,"Population, Employment, & Labor Markets",0
18,"National Income & Product Accounts",32992,"National Accounts",0
5,"Federal Government Debt",32992,"National Accounts",0
32251,"Flow of Funds",32992,"National Accounts",0
13,"U.S. Trade & International Transactions",32992,"National Accounts",0
32262,"Business Cycle Expansions & Contractions",1,"Production & Business Activity",0
33936,"Business Surveys",1,"Production & Business Activity",0
32436,"Construction",1,"Production & Business Activity",0
33940,"Emissions",1,"Production & Business Activity",0
33490,"Finance Companies",1,"Production & Business Activity",0
32216,"Health Insurance",1,"Production & Business Activity",0
97,"Housing",1,"Production & Business Activity",0
3,"Industrial Production & Capacity Utilization",1,"Production & Business Activity",0
32429,"Manufacturing",1,"Production & Business Activity",0
6,"Retail Trade",1,"Production & Business Activity",0
33441,"Services",1,"Production & Business Activity",0
33492,"Technology",1,"Production & Business Activity",0
33202,"Transportation",1,"Production & Business Activity",0
33203,"Wholesale Trade",1,"Production & Business Activity",0
32217,"Commodities",32455,"Prices",0
9,"Consumer Price Indexes (CPI and PCE)",32455,"Prices",0
33913,"Cryptocurrencies",32455,"Prices",0
4,"Employment Cost Index",32455,"Prices",0
33717,"Health Care Indexes",32455,"Prices",0
32261,"House Price Indexes",32455,"Prices",0
31,"Producer Price Indexes (PPI)",32455,"Prices",0
32220,"Trade Indexes",32455,"Prices",0
32264,"Countries",32263,"International Data",0
32955,"Geography",32263,"International Data",0
32265,"Indicators",32263,"International Data",0
32956,"Institutions",32263,"International Data",0
27281,"States",3008,"U.S. Regional Data",0
32043,"Census Regions",3008,"U.S. Regional Data",0
32061,"BEA Regions",3008,"U.S. Regional Data",0
32849,"BLS Regions",3008,"U.S. Regional Data",0
32071,"Federal Reserve Districts",3008,"U.S. Regional Data",0
32233,"Freddie Mac Regions",3008,"U.S. Regional Data",0
33833,"Banking and Monetary Statistics, 1914-1941",33060,"Academic Data",0
33951,"Daily Federal Funds Rate, 1928-54",33060,"Academic Data",0
33825,"Data on the nominal term structure model from Kim and Wright",33060,"Academic Data",0
33891,"Historical Federal Reserve Data",33060,"Academic Data",0
33061,"NBER Macrohistory Database",33060,"Academic Data",0
33100,"Penn World Table 7.1",33060,"Academic Data",0
33402,"Penn World Table 9.0",33060,"Academic Data",0
33120,"Recession Probabilities",33060,"Academic Data",0
33123,"Weekly U.S. and State Bond Prices, 1855-1865",33060,"Academic Data",0
33201,"Economic Policy Uncertainty",33060,"Academic Data",0
33442,"Sticky Wages and Comovement",33060,"Academic Data",0
33839,"A Millennium of Macroeconomic Data for the UK",33060,"Academic Data",0
33934,"New England Textile Industry, 1815-1860",33060,"Academic Data",0
33058,"Automobile Loan Rates",22,"Interest Rates",32991
51,"Bankers Acceptance Rate",22,"Interest Rates",32991
121,"Certificates of Deposit",22,"Interest Rates",32991
120,"Commercial Paper",22,"Interest Rates",32991
32348,"Corporate Bonds",22,"Interest Rates",32991
33059,"Credit Card Loan Rates",22,"Interest Rates",32991
32298,"Eurodollar Deposits",22,"Interest Rates",32991
118,"FRB Rates - discount, fed funds, primary credit",22,"Interest Rates",32991
33056,"Interest Checking Accounts",22,"Interest Rates",32991
33446,"Interest Rate Spreads",22,"Interest Rates",32991
32299,"Interest Rate Swaps",22,"Interest Rates",32991
33003,"LIBOR Rates",22,"Interest Rates",32991
32995,"Long-Term Securities",22,"Interest Rates",32991
33055,"Money Market Accounts",22,"Interest Rates",32991
114,"Mortgage Rates",22,"Interest Rates",32991
33057,"Personal Loan Rates",22,"Interest Rates",32991
117,"Prime Bank Loan Rate",22,"Interest Rates",32991
33491,"Saving Accounts",22,"Interest Rates",32991
116,"Treasury Bills",22,"Interest Rates",32991
115,"Treasury Constant Maturity",22,"Interest Rates",32991
82,"Treasury Inflation-Indexed Securities",22,"Interest Rates",32991
94,"Daily Rates",15,"Exchange Rates",32991
95,"Monthly Rates",15,"Exchange Rates",32991
32219,"Annual Rates",15,"Exchange Rates",32991
105,"Trade-Weighted Indexes",15,"Exchange Rates",32991
158,"By Country",15,"Exchange Rates",32991
124,"Monetary Base",24,"Monetary Data",32991
123,"Reserves",24,"Monetary Data",32991
25,"M1 and Components",24,"Monetary Data",32991
29,"M2 and Components",24,"Monetary Data",32991
